description,rating,ispromotional,isirrelevant,notvisited,author,company_name,policy_type
Hands down one of the best Mexican restaurants in SG. Quite amazing tacos.,5,0,0,0,Roshini Ravindran,scarps,Clean
I ordered original dumplings and mushroom noodles. Used Burpple Beyond and I’d say the noodles are surprisingly good and it’s worth trying! Ramen egg is good too.,5,0,0,0,Dorothy Tan,DD,Clean
"Love the Mexican food here. We have revisited 3 times and my favs are the baja fish & chicken quesadilla. Staff are very attentive & efficient. Very popular with long queues whenever I visit on Sat for dinner, so come earlier if you can!",5,0,0,0,JM,google_reviews,Clean
"{'en': ""Rule number 1, don't come during peak hours then complain about waiting time. Rule number 2, there's unlabeled reaper sauce, try at your own risk. Rule number 3, when they say the nachos is loaded, it is very very loaded.""}",5,0,0,0,cjhj,google_reviews,Clean
"Amazing dessert spot, once we saw the line we knew it was legit. CASH only. The staff will let you browse and order, followed by 30 mins to consume your dishes. Absolutely understandable, lots of hungry dessert seekers waiting! Ordered the durian mango sago with pomelo, gluttonous black rice with ice cream, and mochi. Many items were sold out, which makes me want to try them even more (particularly the HK style dishes). Can’t wait for next time!",5,0,0,0,Jason W,ahchews,Clean
Really good and affordable Mexican food! Had it a couple of times when they were located at Cross Street but they’ve an expanded menu and revamped recipes which taste even better now. Loved the burrito bowl - super flavourful and packed with loads of ingredients. Cauli-bites and Baja Tacos are our usual go-to. Service folks were really nice and friendly too!,5,0,0,0,Jessica Yeo,google_reviews,Clean
Lovely and cozy place to get some awesome food. They had a good variety of unique dumplings and we ate every single one brought out in no time flat. Relatively affordable for Singapore but surely not the cheapest dumplings. They had a couple good beers on tap and overall loved my small dinner had here.,5,0,0,0,John Dillon,DD,Clean
"This cute place was a random choice one night and it was really a great experience! We had to wait for a while, like 20 mins to get a table because it was very packed and we didn’t have a reservation but in the end we got the table and service was very nice! Staff is nice and attentive, food is delicious! We tried noodles which were very good and then I had vegetarian gyozas (there are two types), one of the two after a few gyozas is a bit nauseating as it has cinnamon in it but the taste is very nice and peculiar! You can tell that the gyoza dough is made fresh by them! They have also nice cocktails (very pricey, 20 dollars) and very delicious artigianal beers (for 8 dollars), very recommended!",5,0,0,0,Mariateresa Signorile,DD,Clean
"Fun food, Great service! (though waiting time can be improved.. esp if reserved tables are late) Try them all!",5,0,0,0,Cherlyn N,DD,Clean
"[Oct 2023] First time here but definitely not the last. Most of the dishes are unique to the cafe and well-thought - all the components on the plate complement each other perfectly. Special mention - The pistachio raspberry cube was splendid - flaky buttery pastry with rich pistachio cream. Service was fast and friendly, it was full house even at 3pm on a Saturday. Cafe doesn’t take reservations. (Updated photos from visit in Nov 2023)",5,0,0,0,Orrdii Tan,dough,Clean
"Go here. You won’t be disappointed. Small and cosy with friendly service. Casual atmosphere with really tasty food. Perfect for satisfying that Mexican craving. Loaded nachos, mushroom quesadilla and fish tacos were my top pics.",5,0,0,0,Paul Brindley,scarps,Clean
Really enjoyed brunch here. Everything was reasonably priced and the flavours were not what we were expecting of each item. Definitely elevated brunch,5,0,0,0,JM,dough,Clean
"Ordered the dumplings platter for delivery: love the potato and cheeziness of the Fried Pierogi, the original and smoked duck are amazing too. Worth a try! The noodles are a very yummy fusiony accompaniment too.",5,0,0,0,Colin Tan,DD,Clean
Great food and ambience. Dumplings and noodles were simply scrumptious. The cold beer was fruity amd delicious. Definitely worth a visit. Price is reasonable too.,5,0,0,0,S F,DD,Clean
"Great casual Mexican restaurant. Tacos are flavorful and tasty, good variety of starters to select from. Margaritas are great as well. Expect some queue and waiting time during peak hours. Would just wish that the New Bahru outlet also had the chicken tacos..",5,0,0,0,Maximilian,scarps,Clean
"{'en': ""Never dissapoints - the miso mushroom noodles are just super amazing along with veggie mandu. Go for the bento box if in stock! Salted Plum goji drink is great but can be shared by two. Taste is little overpowering but loved it. Didn't like longan drink.""}",5,0,0,0,S C,DD,Clean
"{'en': ""This has got to be the best Mexican food I've eaten till date! Awesome tacos and quesadillas. Best favourite is the fried fish! Highly highly recommended! Place is small so seats are quite limited.""}",5,0,0,0,Jacky Wu,google_reviews,Clean
Geez the staff is quite unfriendly but god damn the food is good. But acutally the staff is not that bad... we said we only had 3 poeple but we had someone else join us after and he still let the person come in so at the end of the day i think he is a nice guy. He also tell us that the chilli was spicy and gees it was fricking fricking spicy so that was that thanks brother The queue is insane but the food is insane as well so i think it is warranted.... book early so you dont have to queue and make sure you arrive on time cos they give your seat away after 15 mins,5,0,0,0,jordan chong,scarps,Clean
One of the best desserts place in Singapore. Walking distance from Bugis Junction.,5,0,0,0,Rocky Saputra,ahchews,Clean
"{'en': ""This dessert shop is a hidden gem! I came here on a whim and was blown away by the quality of their sweets. The standout for me was definitely the ice cream with black glutinous rice ，it’s a perfect balance of creamy and chewy, with just the right amount of sweetness. The texture of the black rice complements the smooth ice cream so well, it’s both comforting and refreshing. Highly recommend this place to anyone with a sweet tooth， you won't be disappointed!""}",5,0,0,0,Hope,ahchews,Clean
"The portions were decent. most things on the menu are delicious, but fish tacos were a let down, and tasted similar to filet o fish from mcdonalds.",5,0,0,0,mame goma,google_reviews,Clean
"Usually i will takeaway, but this time round i decided to eat in. Got my seats 10-15mins, and queue to order take about 5-10mins. Very fast even though queue was long. I ordered honeydew sago, mango pomelo, old school dessert",5,0,0,0,LiJie Ang,ahchews,Clean
Have to do booking else will be a long Q. No reservations in Friday night.,5,0,0,0,Keiko Shan,google_reviews,Clean
Coconut ice cream on black glutinous porridge and mango pomelo,5,0,0,0,C,ahchews,Clean
"Nice authentic Mexican 🇲🇽 food you can get . Great atmosphere, plenty of place to accommodate many guests at level one & level two. Smiling staff with good service & plenty of dishes to choose from . Great place to dine in with family & or friends . …",5,0,0,0,Himanshu Gupta,scarps,Clean
"Came here for dinner on a wed night and arrived about 7pm and theres was already a queue formed up, not a long one yet. Waited about 15mins to get in and we ordered the tacos, quesadillas and nachos and everything was amazing and so worth it for its price! The beef birria quesadillas tasted so good with a mixtures of spices and herbs thats makes it so flavourful, along with the birria sauce. Got the fish taco and the fish was so fresh, however the jam on it wasn’t for me personally but you can still try it! The mega loaded nachos was the most worth it dish to get tho! Such a huge portion and they were so generous with the fillings! Looking forward to my next visit",5,0,0,0,Elvis Tan,google_reviews,Clean
"Ramen was amazing with different sides to choose from!!!!! Came here a few times already, highly recommend the sichuan pork noodles and fried pierogi",5,0,0,0,Phang Kuang Wei,DD,Clean
Our go to mexican food. Food has been consistent in terms of flavors and portions. Keep up the good work. Only thing is the Q which is understandable given the popularity.,5,0,0,0,Kerry Wong,google_reviews,Clean
"Luckily came with a big group so we could try loads of things: birria quesadilla/ taco, al pastor quesadilla/ taco, baja taco and gambas taco, corn cob and loaded nachos. Best things were corn cob (was really better than expected, slightly charred, spiced up and cheese) and the birria taco! Will dream of this until the next time I get to eat it. Come early because the queue gets really long. They are really strict with the dining hours because of the queue.",5,0,0,0,Natasha Tjahjadi,scarps,Clean
"{'en': ""14 Jun update: still as popular with snaking queue. Good thing the queue move fasts so still worth the short wait. Everything is yummy. Tables are meant to be small so you don't get cosy up and stay too long. But that's fine. One of the most popular dessert place in Singapore selling chinese desserts. I still feel HK dessert taste much better. When you have the cravings, Ah Chew is best in SG to fill in. Favoured by locals and tourists. Orderly queue line. Even though it can go snakey long, the queue moves fast. They restrict eating time to 30 mins and the staff will come to chase you when time is due.""}",5,0,0,0,Eve C,ahchews,Clean
amazing food. pretty staff. 👍🏻👍🏻 edited: came here again. food still slaps. Quality is consistent. Customer service is great. Staff are friendly and attentive. Pretty staff is still there.,5,0,0,0,Chandler Lim,scarps,Clean
"nice desserts! their mochi was so good, very chewy- a must order ✅ their desserts wasn’t very sweet too",5,0,0,0,Janice E (彭林寶),ahchews,Clean
"Came here for dinner without reservation on a Saturday evening. The waiting time was reasonable though the place is a little small. Really amazing food, we ordered the noodles and a dumpling platter. If you’re unsure of what to try first, get the platter as you get to try the different dumplings without too much of a commitment. Overall really delicious, staff seemed to really enjoy working there as well, so we really liked the vibes too. Pardon the lighting, doesn’t do the food justice :)",5,0,0,0,Jerin Lee,DD,Clean
"food was actly bussin so i und the hype. loaded nachos was yums, fish tacos had a tangy fun mango sauce, the steak quesadillas were p impressive and the steak filling was rly good. queued ard 45 mins on a thursday evening.",5,0,0,0,Amanda K,scarps,Clean
"This is my second time back and it is definitely still up to standards. I came back because my friend and I were craving their loaded nachos and it didn’t disappoint. All their other dishes are really good too, super flavourful and filling. The only thing is that the place gets quite crowded and cleanliness couldn’t be kept up to standard therefore it felt slightly uncomfortable. But nothing too much of a bother and I absolutely love their food so I’ll definitely be back again.",5,0,0,0,Xian Xuan,scarps,Clean
Wide variety of dumplings and the noodles taste great. Service there is top notch too! Expect to queue if you don’t make a reservation.,5,0,0,0,SzeLing Tay,DD,Clean
"amazinnnggg food is definitely an understatement. the noodles and dumplings are cooked to perfection. so savoury! 🥟 they had a great lunch set at $17, and it was super worth it. i got the xo prawn noodles with the original dumplings. just wish the prawns came peeled, it was quite troublesome to peel with chopsticks and a ceramic spoon. the ambience is really nice, dim and cozy. can get a little loud when there are a lot of people in the compact space. overall, highly recommended if you’re in the area!",5,0,0,0,Kim Ricafort,DD,Clean
"This is my second time back and it is definitely still up to standards. I came back because my friend and I were craving their loaded nachos and it didn’t disappoint. All their other dishes are really good too, super flavourful and filling. The only thing is that the place gets quite crowded and cleanliness couldn’t be kept up to standard therefore it felt slightly uncomfortable. But nothing too much of a bother and I absolutely love their food so I’ll definitely be back again.",5,0,0,0,Xian Xuan,google_reviews,Clean
Delicious dumplings (please order the dessert!) and great non-alcoholic drinks! Place is quite cramped but service was prompt and attentive.,5,0,0,0,K W,DD,Clean
It was my first time at this outlet and I enjoyed the dumplings very much. They were as delicious as the ones from the circular branch. The service was speedy and friendly too.,5,0,0,0,nina e,DD,Clean
"The atmosphere at this outlet is different than the one at Circular Road. It feels like a hidden restaurant tuck away with delivery food. The staff were nice and helpful. I was waiting for my friend, so I asked if I could be seated and order first, and they showed me to a table. The dumplings and Miso Mushroom Noodles were really flavourful.",5,0,0,0,Yukino Angela,DD,Clean
"Great place for delicious Mexican food. However, you need to be patient… just have to queue on weekend because can’t make reservation.",5,0,0,0,Nick Lim,google_reviews,Clean
"The food was really good, we got their loaded nachos and tacos. Even though we had a reservation, they were really packed and the staff was really busy so we had to wait quite a while. They also accidentally gave another table our tacos and we had to wait for an additional 20 mins after finishing the nachos. Would definitely recommend making a reservation before going though, I went on a Monday afternoon and it was packed. I would highly recommend going for the food though, it was amazing!!",5,0,0,0,Ang Wei Lin,scarps,Clean
