date,reviewID,reviewerID,reviewContent,rating,usefulCount,coolCount,funnyCount,flagged,restaurantID
2/29/2008,ClBkYK4iEZkd-RGHhMrNSA,6PEIKIibsT3NkG1THRfJPg,"MOjitos =)  MOJItos =)  MOJITOS =)   Good and potent!  I love them here- spring, summer, winter or fall- I can drink them anytime or all!   They are fantastic!! I have been a few times for dinner, but, the mojitos got to me.  Some sort of sumptuous chicken comes to mind. Brunch here is worth the wait.  They have great CRAB CAKES!  I love their crab cakes benedict!  Here, they have only slight breading- not easy to find in Chicago- and were absolutely huge!  The mojitos always go  great with them, and the coffee is nice and strong too! Helpful walking hint- If you are freezing- stop in here for drink and make sure to hit the ladies room.  It is not fancy, however, it sits between the kitchen and the furnace room (I believe) and is about as warm as a steam sauna.  Extremely toasty and comforting when you are trying to make your way down windy, busy Irving Park!",4,4,4,3,0,WaIbupMGDBi5B3SChsUH8A
11/11/2005,O-v1imql0whyTYk6UHidOQ,j6YqYVT5Fs8NH-jrQ2ulvA,"I know this place is run by the Cheesecake Factory, and while the food is similar, the atmosphere is far superior.  With a large dining room, and great seating off of Michigan Avenue, a romantic dinner with dessert can run 1/2 the price of other places that offer a similar setting.  One of the few great values off Michigan.",4,0,0,0,1,4wreIFjaPMppyEnzKHbozg
5/3/2011,YjRRykM4bIYeg2CDUuN4Tw,pPgV4tzCzrZXkAfeELZG7Q,"Awesome food - margaritas to die for!  I got the pork enchiladas and they were so great!  My friend got the goat and it was amazing!  And the mezcal margarita and tamarind margaritas were delicious,  it was well worth our wait!",5,1,0,0,0,AqgG-1aD6JYj9D6OmBWO3w
4/8/2011,eMw6XBcfLr2lzc8IIt9TLw,Uzbw4OStvEw3XVnxUEHapw,"Outstanding!  We had the regular burger because someone at work recommended it.  It was probably the best burger I have had in the city, and I know my burgers.  We added grilled mushrooms to ours.  The burger fit the bun or the bun fit the burger.  Know what I mean?  Oh, and what a great bun!  I like that the fries and ketchup are in separate serving dishes on your plate.  I hate when you have to pour ketchup out of a bottle and it runs into other food on your plate.  The staff was extremely courteous, friendly, and attentive.  The food arrived in less than 10 minutes and we were not rushed in any way.  It's a place where you can get in and out in 30 minutes if you have to, but can also linger around if you want to.  My highlight of the day?  Seeing Billy's smiling Irish eyes.  It's always nice when the owner takes the time to greet his guests with such warmth.  I will be back.  Next  time, I'm having the fish and chips!  The Gage is Winning!",5,0,0,0,1,vvhfPV-Llkd4fE2SHuLVvA
4/28/2008,mwTTJfR,pvjeaXqNWDyv6kiZj4SWkg,"We stopped in for an early dinner on Sunday.   The Service was great.  Very friendly and efficient.   We had a great appetizer, and two entrees.  The first was the sorghum glaze chicken.  Very tasty, but very skimpy.  The other was the etouffee.   It was a little bland.   Given that it is early  on,  we will gladly give them another try.",3,0,0,0,0,ElCbMJRjgu9LDj4MxOKXew
8/12/2006,7wpxKjbjn2cRNc4X0LTsVQ,DecNq9BYtMwHhgdnPNGbVQ,"Yes, Superdawg is overpriced.  Yes, Superdawg is far away.  Yes, I wish I could have 2 hot dogs for the price of one because I sometimes leave wanting more, but I do not care.  I love the little adorable boxes with my hot dog and fries all crammed in there.  Maurie and Flaurie have lured me into their overpriced hot dog hell and I am here to stay.",4,2,1,0,0,FCcgXODBs6O7MGH3VZNyLQ
12/26/2011,FXCnxWjE7rXiwN1YCuWb9A,VI8s0aaf57nfONLh2h2h8g,"I really like their sagnaki cheese here and their chicken riggati. I had never tried the chicken before last week but it was delicious. The wines from Greece are my favorite, especially the macadenius (sweet dessert wine). Its delicious when paired with my saganaki - OPAA!",5,0,0,0,1,_UJ3KqtHIHjExbAg-iIGUA
3/16/2011,8GbMsrcAi3fwK34CBb5Z2g,gLrzvwMhUEkvApc_I2XzrQ,"I really wanted to like this place.  We did a lot of research to try and find out what to order.  Started with the spring rolls which were great.  Then we had the Pho with tripe, etc.  It was pretty much dish water with body parts floating in it.  We also order the shrimp hot pot which was a steaming heap of garbage.  Two large shrimp so over cooked that the meat was largely MIA - and it was close to $20.  Finally, we ordered the sizzling steak platter just to have something edible.",2,0,0,0,0,ALwH81_sqskLmwfWS-_eeQ
5/14/2008,ZC8GxofQJi_QLmKypJ5CTQ,RC7olN50WzeHbYmZwxVN7w,"Even though the service at Garcia's is slow, slow, slow, I always return (when I can fit it into my schedule).  I love their salsa and their burritos are the largest I've even seen!",3,0,0,0,1,08X_5WTOVNvk4SgPRKBjjQ
3/31/2011,OrisYkHlgen8otvwRDaU6g,19intZtsXumy7C7dnZa5oA,Sunda is excellent! Food and service is outstanding. Really fun but loud. Try everything. Fresh and they can accomodate any allergy. Word of advise...don't make a reservation there call instead it sometimes gets lost.,5,0,0,0,0,8d_DiHWB-pjBVW3a7D8EWg
